input	output	adv_input	adv_output	d_in	d_out	gain
a benign but forgettable sci fi diversion	[ 0.9759512   0.02404881]	a benign but forgettable sci fi diversion    fiorentino brio	[ 0.01611106  0.9838889 ]	0.0	0.595168495887	5951.68495887
even the unwatchable soapdish is more original	[ 0.9352541   0.06474593]	even the unwatchable soapdish is more original     streetwise	[ 0.03244041  0.9675596 ]	0.0	0.501146915868	5011.46915868
the plot is so predictable and sentimental that viewers are likely to lose interest before sandrine and her goats walk off into the sunset	[ 0.94565     0.05435004]	the plot is so predictable and sentimental that viewers are likely to lose interest before sandrine and her goats walk off into the sunset                carr     carr	[ 0.0451687  0.9548313]	0.0	0.495522074034	4955.22074034
it has fun being grown up	[ 0.00660628  0.9933937 ]	it has fun being grown up    crassness nincompoop	[ 0.8575266   0.14247338]	0.0	0.459301489791	4593.01489791
` dragonfly ' is a movie about a bus wreck that turns into a film wreck	[ 0.83610916  0.16389081]	` dragonfly ' is a movie about a bus wreck that turns into a film wreck         carr    carr	[ 0.01170805  0.988292  ]	0.0	0.426634104153	4266.34104153
too loud , too long and too frantic by half , die another day suggests that the bond franchise has run into a creative wall that 007 can not fly over , tunnel under or barrel through	[ 0.92004126  0.07995874]	too loud , too long and too frantic by half , die another day suggests that the bond franchise has run into a creative wall that 007 can not fly over , tunnel under or barrel through                  fiorentino  fiorentino	[ 0.08325151  0.91674846]	5.96046447754e-08	0.410487594179	4102.43070254
if this dud had been made in the '70s , it would have been called the hills have antlers and played for about three weeks in drive ins	[ 0.89150405  0.10849593]	if this dud had been made in the '70s , it would have been called the hills have antlers and played for about three weeks in drive ins                       musset musset	[ 0.06000395  0.93999606]	0.0	0.406802228361	4068.02228361
a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek	[ 0.8656643  0.1343357]	a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek     carr        carr	[ 0.04167065  0.9583294 ]	1.19209289551e-07	0.40496558356	4044.83401771
it 's difficult to say whether the tuxedo is more boring or embarrassing i 'm prepared to call it a draw	[ 0.8722762  0.1277238]	it 's difficult to say whether the tuxedo is more boring or embarrassing i 'm prepared to call it a draw          musset  musset	[ 0.05737783  0.9426222 ]	0.0	0.389807136374	3898.07136374
the smug , oily demeanor that donovan adopts throughout the stupidly named pipe dream is just repulsive	[ 0.7962605   0.20373951]	the smug , oily demeanor that donovan adopts throughout the stupidly named pipe dream is just repulsive        carr      carr	[ 0.01440824  0.98559177]	0.0	0.384646764148	3846.46764148
a didactic and dull documentary glorifying software anarchy	[ 0.8742063   0.12579368]	a didactic and dull documentary glorifying software anarchy    nanette nanette	[ 0.06680524  0.93319476]	5.96046447754e-08	0.379602703391	3793.76577329
a well acted and well intentioned snoozer	[ 0.7812725   0.21872751]	a well acted and well intentioned snoozer   nanette nanette	[ 0.01702924  0.9829708 ]	1.19209289551e-07	0.366899278599	3664.6242135
but he loses his focus when he concentrates on any single person	[ 0.8212851  0.1787149]	but he loses his focus when he concentrates on any single person     musset    musset	[ 0.04325392  0.9567461 ]	0.0	0.360149034386	3601.49034386
extreme oops oops , ops , no matter how you spell it , it 's still a mistake to go see it	[ 0.874493    0.12550698]	extreme oops oops , ops , no matter how you spell it , it 's still a mistake to go see it               nanette   nanette	[ 0.08597138  0.91402864]	0.0	0.356929371306	3569.29371306
this film looks like it was produced in 1954 , shelved for 48 years , and repackaged for a 2002 audience	[ 0.8474189   0.15258108]	this film looks like it was produced in 1954 , shelved for 48 years , and repackaged for a 2002 audience            musset musset	[ 0.06653782  0.9334622 ]	5.96046447754e-08	0.35356583267	3533.55216549
the stupidest , most insulting movie of 2002 's first quarter	[ 0.7667497   0.23325032]	the stupidest , most insulting movie of 2002 's first quarter      musset  musset	[ 0.02169087  0.97830915]	1.19209289551e-07	0.346737144934	3463.24294204
the screenplay sabotages the movie 's strengths at almost every juncture	[ 0.83581  0.16419]	the screenplay sabotages the movie 's strengths at almost every juncture      crudup  crudup	[ 0.06467264  0.93532735]	0.0	0.345092910067	3450.92910067
the performances are so leaden , michael rymer 's direction is so bloodless and the dialogue is so corny that the audience laughs out loud	[ 0.9179019   0.08209814]	the performances are so leaden , michael rymer 's direction is so bloodless and the dialogue is so corny that the audience laughs out loud                    fiorentino fiorentino	[ 0.14399527  0.8560047 ]	1.19209289551e-07	0.343223138792	3428.14472095
the filmmakers juggle and juxtapose three story lines but fail to come up with one cogent point , unless it 's that life stinks , especially for sensitive married women who really love other women	[ 0.7194393   0.28056067]	the filmmakers juggle and juxtapose three story lines but fail to come up with one cogent point , unless it 's that life stinks , especially for sensitive married women who really love other women                    assuredness            assuredness	[ 0.00831745  0.9916825 ]	5.96046447754e-08	0.334816869673	3346.17422147
formula 51 is so trite that even yu 's high energy action stylings ca n't break through the stupor	[ 0.8458855   0.15411448]	formula 51 is so trite that even yu 's high energy action stylings ca n't break through the stupor      nanette nanette	[ 0.08162554  0.9183745 ]	0.0	0.334266633662	3342.66633662
think of it as a sort of comfort food for the mind	[ 0.02452659  0.9754734 ]	think of it as a sort of comfort food for the mind       dilettante dilettante	[ 0.7475335  0.2524665]	0.0	0.3268408414	3268.408414
maybe it 's the star power of the cast or the redundant messages , but something aboul `` full frontal '' seems , well , contrived	[ 0.69776684  0.30223316]	maybe it 's the star power of the cast or the redundant messages , but something aboul `` full frontal '' seems , well , contrived             brio   brio	[ 0.00621551  0.9937845 ]	0.0	0.323410579107	3234.10579107
the problem with this film is that it 's forced to make its characters idiots in order to advance the plot	[ 0.8094132   0.19058684]	the problem with this film is that it 's forced to make its characters idiots in order to advance the plot          musset    musset	[ 0.06410504  0.93589497]	0.0	0.322532325996	3225.32325996
