input	output	adv_input	adv_output	d_in	d_out	gain
`` my fellow americans '' could have been called `` grumpy old ex-presidents '' _ and probably should have been .	the old ex-presidents	`` my fellow americans '' could have been called `` grumpy old wheeling-pittsburgh '' _ and probably should have been .	the <unk> of <unk>	0.0	0.746119618416	7461.19618416
anna wintour must be pleased .	anna <unk> to be honored	anna race-fixing must be pleased .	race to end race	0.0	0.709397494793	7093.97494793
the bottom of elena osuna 's skirt flares with each step , her feet pound and her hands twist as she UNK in a sweltering studio .	<unk> 's rough flares	the bottom of iowans <unk> 's skirt flares with each step , her feet pound and her hands twist as she <unk> in a sweltering studio .	the bottom of iowa	0.0	0.681511223316	6815.11223316
the UNK UNK	<unk> <unk> <unk>	the teary-eyed <unk>	swamp <unk>	0.0	0.676073491573	6760.73491573
dozens of ####s-era sewing machines hum in the room off a cobblestone street in old havana , the drone mixing with strains of salsa music and the chatter of elderly women at work .	cuban sewing machines make a comeback	dozens of taiwan-controlled sewing machines hum in the room off a cobblestone street in old havana , the drone mixing with strains of salsa music and the chatter of elderly women at work .	cuba 's revolutionary <unk>	0.0	0.576591193676	5765.91193676
rennes midfielder arnold m ` UNK has been loaned till the end of the season to english premiership club portsmouth , the french first division club said .	<unk> loaned to portsmouth	rennes midfielder arnold m ` portsmouth has been loaned till the end of the season to english premiership club portsmouth , the french first division club said .	portsmouth loans star m to portsmouth	0.0	0.563313484192	5633.13484192
leading the preakness field at the far turn , edgar prado sensed victory as he prepared peace rules for the final push to the finish line .	prado wins preakness	leading the preakness field at the far turn , edgar eads sensed victory as he prepared peace rules for the final push to the finish line .	for the final push for peace	0.0	0.547399431467	5473.99431467
ivory coast striker boubacar sanogo is set to leave werder bremen for french first division side saint-etienne .	<unk> set to leave werder bremen	ivory coast striker ivorian <unk> is set to leave werder bremen for french first division side saint-etienne .	ivory coast striker set to leave werder bremen	0.0	0.54295489192	5429.5489192
palestinian prime minister ismail haniya insisted friday that his hamas-led government was continuing efforts to secure the release of an israeli soldier captured by militants .	hamas pm insists on release of soldier	palestinian prime minister ismail haniya insisted friday that his gaza-israel government was continuing efforts to secure the release of an israeli soldier captured by militants .	haniya insists gaza truce efforts continue	5.96046447754e-08	0.469662070274	4693.82296624
qatar 's emir on tuesday appointed foreign minister sheikh hamad bin jassem bin jabr al-thani as prime minister in place of sheikh abdullah bin khalifa al - thani , the state news agency qna reported .	qatar names new prime minister	qatari 's emir on tuesday appointed foreign minister sheikh hamad bin jassem bin jabr al-thani as prime minister in place of sheikh abdullah bin khalifa al - thani , the state news agency qna reported .	qatari emir names new pm	0.0	0.435624539852	4356.24539852
